ticker,exchange,assetType,priceCurrency,startDate,endDate
000758,SHE,Stock,CNY,2007-01-04,2017-03-17
000759,SHE,Stock,CNY,2007-01-04,2017-03-17
000760,SHE,Stock,CNY,2007-01-04,2017-03-17
000761,SHE,Stock,CNY,2007-01-04,2017-03-17
000762,SHE,Stock,CNY,2007-01-04,2017-03-17
000766,SHE,Stock,CNY,2007-01-04,2017-03-17
000767,SHE,Stock,CNY,2007-01-04,2017-03-17
000768,SHE,Stock,CNY,2007-01-04,2017-03-17
000776,SHE,Stock,CNY,2010-02-12,2017-03-17
000777,SHE,Stock,CNY,2007-01-05,2017-03-17
000778,SHE,Stock,CNY,2007-01-04,2017-03-17
000779,SHE,Stock,CNY,2007-01-10,2017-03-17
000780,SHE,Stock,CNY,2007-01-04,2017-03-17
000782,SHE,Stock,CNY,2007-01-04,2017-03-17
000783,SHE,Stock,CNY,2007-02-02,2017-03-17
000785,SHE,Stock,CNY,2007-01-04,2017-03-17
000786,SHE,Stock,CNY,2007-01-04,2017-03-17
000787,SHE,Stock,CNY,2007-01-08,2007-04-27
000788,SHE,Stock,CNY,2007-01-04,2017-03-17
000789,SHE,Stock,CNY,2007-01-04,2017-03-17
000790,SHE,Stock,CNY,2007-01-04,2017-03-17
000791,SHE,Stock,CNY,2007-01-04,2017-03-17
000792,SHE,Stock,CNY,2007-01-04,2017-03-17
000793,SHE,Stock,CNY,2007-01-04,2017-03-17
000795,SHE,Stock,CNY,2007-01-04,2017-03-17
000796,SHE,Stock,CNY,2007-01-04,2017-03-17
000797,SHE,Stock,CNY,2007-01-04,2017-03-17
000798,SHE,Stock,CNY,2007-01-04,2017-03-17
000799,SHE,Stock,CNY,2007-02-16,2017-03-17
000800,SHE,Stock,CNY,2007-01-04,2017-03-17
000801,SHE,Stock,CNY,2007-01-04,2017-03-17
000802,SHE,Stock,CNY,2007-01-05,2017-03-17
000803,SHE,Stock,CNY,2007-01-04,2017-02-17
000806,SHE,Stock,CNY,2007-01-04,2017-03-17
000807,SHE,Stock,CNY,2007-01-04,2017-03-17
000809,SHE,Stock,CNY,2007-01-04,2017-03-17
000810,SHE,Stock,CNY,2007-01-04,2017-03-17
000811,SHE,Stock,CNY,2007-01-04,2017-03-17
000812,SHE,Stock,CNY,2007-01-04,2017-03-17
000813,SHE,Stock,CNY,2007-01-04,2017-03-17
000815,SHE,Stock,CNY,2007-01-04,2017-03-17
000816,SHE,Stock,CNY,2007-01-04,2017-03-17
000818,SHE,Stock,CNY,2007-01-04,2017-03-17
000819,SHE,Stock,CNY,2007-02-12,2017-03-17
000820,SHE,Stock,CNY,2007-01-04,2017-03-17
000821,SHE,Stock,CNY,2007-01-04,2016-12-02
000822,SHE,Stock,CNY,2007-01-04,2017-03-17
000823,SHE,Stock,CNY,2007-01-04,2017-03-17
000825,SHE,Stock,CNY,2007-01-04,2017-03-17
000826,SHE,Stock,CNY,2007-01-04,2017-03-17
000828,SHE,Stock,CNY,2007-01-04,2017-03-17
000829,SHE,Stock,CNY,2007-01-04,2016-09-28
000830,SHE,Stock,CNY,2007-01-04,2017-03-17
000831,SHE,Stock,CNY,2007-01-04,2017-03-17
000833,SHE,Stock,CNY,2007-03-12,2017-03-17
000835,SHE,Stock,CNY,2007-01-04,2017-03-17
000836,SHE,Stock,CNY,2007-01-04,2017-03-17
000837,SHE,Stock,CNY,2007-01-04,2017-03-17
000838,SHE,Stock,CNY,2007-01-04,2017-03-17
000839,SHE,Stock,CNY,2007-01-04,2017-03-17
000848,SHE,Stock,CNY,2007-01-04,2017-03-17
000850,SHE,Stock,CNY,2007-01-04,2017-03-17
000851,SHE,Stock,CNY,2007-01-04,2017-03-17
000852,SHE,Stock,CNY,2007-02-27,2017-03-17
000856,SHE,Stock,CNY,2007-01-15,2017-03-17
000858,SHE,Stock,CNY,2007-01-04,2017-03-17
000859,SHE,Stock,CNY,2007-01-04,2017-03-17
000860,SHE,Stock,CNY,2007-01-04,2017-03-17
000861,SHE,Stock,CNY,2007-01-04,2017-03-17
000862,SHE,Stock,CNY,2007-01-04,2017-03-10
000863,SHE,Stock,CNY,2007-01-08,2017-03-17
000868,SHE,Stock,CNY,2007-01-04,2017-03-17
000869,SHE,Stock,CNY,2007-01-04,2017-03-17
000875,SHE,Stock,CNY,2007-01-04,2017-03-17
000876,SHE,Stock,CNY,2007-01-04,2017-03-17
000877,SHE,Stock,CNY,2007-01-04,2017-03-16
000878,SHE,Stock,CNY,2007-01-04,2017-03-17
